Word,Lemma_saved_factor_analysis,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
dumbing,dumb,dumbe,VERB,dumbing,dumb,Verb,1,Step 1: SUBTLEX-UK,dumb,False,dumb
durst,dare,durst,NOUN,durst,dare,Verb,1,Step 1: SUBTLEX-UK,dare,False,dare
dwelling,dwelling,dwell,VERB,dwelling,dwelling,Noun,1,Step 1: SUBTLEX-UK,dwelling,False,dwelling
dwelt,dwell,dwelt,NOUN,dwelt,dwell,Verb,1,Step 1: SUBTLEX-UK,dwell,False,dwell
eaten,eat,eaten,VERB,eaten,eat,Verb,1,Step 1: SUBTLEX-UK,eat,False,eat
economics,economics,economic,NOUN,economics,economics,Noun,1,Step 1: SUBTLEX-UK,economics,False,economics
embargoed,embargo,embargoed,VERB,embargoed,embargo,,1,Step 1: SUBTLEX-UK,embargo,False,embargo
embryos,embryo,embryos,PROPN,embryos,embryo,Noun,1,Step 1: SUBTLEX-UK,embryo,False,embryo
endures,endure,endures,PROPN,endures,endure,Verb,1,Step 1: SUBTLEX-UK,endure,False,endure
everlasting,everlasting,everlaste,VERB,everlasting,everlasting,Adjective,1,Step 1: SUBTLEX-UK,everlasting,False,everlasting
exhausting,exhaust,exhausting,ADJ,exhausting,exhaust,Adjective,1,Step 1: SUBTLEX-UK,exhaust,False,exhaust
extras,extra,extras,PROPN,extras,extra,Noun,1,Step 1: SUBTLEX-UK,extra,False,extra
fallen,fall,fallen,VERB,fallen,fall,Verb,1,Step 1: SUBTLEX-UK,fall,False,fall
fathering,father,fathering,ADJ,fathering,father,Verb,1,Step 1: SUBTLEX-UK,father,False,father
fed,feed,fed,PROPN,fed,feed,Verb,1,Step 1: SUBTLEX-UK,feed,False,feed
fingering,finger,fingering,NOUN,fingering,finger,Verb,1,Step 1: SUBTLEX-UK,finger,False,finger
fishing,fishing,fish,VERB,fishing,fishing,Noun,1,Step 1: SUBTLEX-UK,fishing,False,fishing
fisted,fist,fiste,VERB,fisted,fist,Adjective,1,Step 1: SUBTLEX-UK,fist,False,fist
fisting,fist,fisting,PROPN,fisting,fist,Verb,1,Step 1: SUBTLEX-UK,fist,False,fist
flaming,flaming,flame,VERB,flaming,flaming,Adjective,1,Step 1: SUBTLEX-UK,flaming,False,flaming
foamed,foam,foamed,VERB,foamed,foam,Adjective,1,Step 1: SUBTLEX-UK,foam,False,foam
foci,focus,foci,PROPN,foci,focus,Noun,1,Step 1: SUBTLEX-UK,focus,False,focus
focussed,focus,focusse,VERB,focussed,focus,Adjective,1,Step 1: SUBTLEX-UK,focus,False,focus
focussing,focus,focusse,VERB,focussing,focus,,1,Step 1: SUBTLEX-UK,focus,False,focus
footing,footing,foot,VERB,footing,footing,Noun,1,Step 1: SUBTLEX-UK,footing,False,footing
forgave,forgive,forgave,VERB,forgave,forgive,Verb,1,Step 1: SUBTLEX-UK,forgive,False,forgive
forgot,forget,forgot,PROPN,forgot,forget,Verb,1,Step 1: SUBTLEX-UK,forget,False,forget
frenzied,frenzied,frenzy,VERB,frenzied,frenzied,Adjective,1,Step 1: SUBTLEX-UK,frenzied,False,frenzied
fried,fried,fry,VERB,fried,fried,Adjective,1,Step 1: SUBTLEX-UK,fried,False,fried
froze,freeze,froze,VERB,froze,freeze,Verb,1,Step 1: SUBTLEX-UK,freeze,False,freeze
frozen,freeze,frozen,ADJ,frozen,freeze,Adjective,1,Step 1: SUBTLEX-UK,freeze,False,freeze
fuelling,fuel,fuelling,NOUN,fuelling,fuel,Verb,1,Step 1: SUBTLEX-UK,fuel,False,fuel
gaited,gait,gaite,VERB,gaited,gait,Verb,1,Step 1: SUBTLEX-UK,gait,False,gait
galleys,galley,galleys,VERB,galleys,galley,Noun,1,Step 1: SUBTLEX-UK,galley,False,galley
gamed,game,gamed,PROPN,gamed,game,Verb,1,Step 1: SUBTLEX-UK,game,False,game
geese,goose,geese,PROPN,geese,goose,Noun,1,Step 1: SUBTLEX-UK,goose,False,goose
genera,genus,genera,NOUN,genera,genus,Noun,1,Step 1: SUBTLEX-UK,genus,False,genus
genii,genie,genii,NOUN,genii,genie,Noun,1,Step 1: SUBTLEX-UK,genie,False,genie
glacier,glacier,glaci,ADJ,glacier,glacier,Noun,1,Step 1: SUBTLEX-UK,glacier,False,glacier
glossies,glossy,glossie,VERB,glossies,glossy,Noun,1,Step 1: SUBTLEX-UK,glossy,False,glossy
grassed,grass,grassed,ADJ,grassed,grass,Verb,1,Step 1: SUBTLEX-UK,grass,False,grass
grated,grate,grated,ADJ,grated,grate,Verb,1,Step 1: SUBTLEX-UK,grate,False,grate
grown,grow,grown,NOUN,grown,grow,Verb,1,Step 1: SUBTLEX-UK,grow,False,grow
guested,guest,gueste,VERB,guested,guest,,1,Step 1: SUBTLEX-UK,guest,False,guest
guesting,guest,gueste,VERB,guesting,guest,Verb,1,Step 1: SUBTLEX-UK,guest,False,guest
gulfs,gulf,gulfs,NOUN,gulfs,gulf,Noun,1,Step 1: SUBTLEX-UK,gulf,False,gulf
gutted,gut,gutte,VERB,gutted,gut,Verb,1,Step 1: SUBTLEX-UK,gut,False,gut
gutting,gut,gutte,VERB,gutting,gut,Verb,1,Step 1: SUBTLEX-UK,gut,False,gut
gymnastics,gymnastics,gymnastic,NOUN,gymnastics,gymnastics,Noun,1,Step 1: SUBTLEX-UK,gymnastics,False,gymnastics
halfs,half,halfs,NOUN,halfs,half,,1,Step 1: SUBTLEX-UK,half,False,half
haloes,halo,haloe,VERB,haloes,halo,,1,Step 1: SUBTLEX-UK,halo,False,halo
hamming,ham,hamming,NOUN,hamming,ham,Verb,1,Step 1: SUBTLEX-UK,ham,False,ham
handicapped,handicap,handicapped,VERB,handicapped,handicap,Adjective,1,Step 1: SUBTLEX-UK,handicap,False,handicap
harvesting,harvest,harvesting,NOUN,harvesting,harvest,Verb,1,Step 1: SUBTLEX-UK,harvest,False,harvest
hast,have,hast,PROPN,hast,have,Verb,1,Step 1: SUBTLEX-UK,have,False,have
headquarters,headquarters,headquarter,NOUN,headquarters,headquarters,Noun,1,Step 1: SUBTLEX-UK,headquarters,False,headquarters
herring,herr,herre,VERB,herring,herr,Noun,1,Step 1: SUBTLEX-UK,herr,False,herr
hipped,hip,hippe,VERB,hipped,hip,Adjective,1,Step 1: SUBTLEX-UK,hip,False,hip
hipping,hip,hippe,VERB,hipping,hip,,1,Step 1: SUBTLEX-UK,hip,False,hip
hobbies,hobby,hobbie,VERB,hobbies,hobby,Noun,1,Step 1: SUBTLEX-UK,hobby,False,hobby
hoeing,hoe,hoeing,NOUN,hoeing,hoe,Verb,1,Step 1: SUBTLEX-UK,hoe,False,hoe
homeliest,homely,homeliest,VERB,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,homely,False,homely
hoofs,hoof,hoofs,NOUN,hoofs,hoof,Noun,1,Step 1: SUBTLEX-UK,hoof,False,hoof
housekeeping,housekeeping,housekeep,VERB,housekeeping,housekeeping,Noun,1,Step 1: SUBTLEX-UK,housekeeping,False,housekeeping
hung,hang,hung,PROPN,hung,hang,Verb,1,Step 1: SUBTLEX-UK,hang,False,hang
identifies,identify,identifie,NOUN,identifies,identify,Verb,1,Step 1: SUBTLEX-UK,identify,False,identify
idler,idle,idler,ADV,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,idle,False,idle
idlest,idle,idlest,NOUN,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,idle,False,idle
imagines,imagine,imago,NOUN,imagines,imagine,Verb,1,Step 1: SUBTLEX-UK,imagine,False,imagine
innings,inning,innings,PROPN,innings,inning,Noun,1,Step 1: SUBTLEX-UK,inning,False,inning
inventoried,inventory,inventoried,ADJ,inventoried,inventory,Verb,1,Step 1: SUBTLEX-UK,inventory,False,inventory
jagged,jagged,jag,VERB,jagged,jagged,Adjective,1,Step 1: SUBTLEX-UK,jagged,False,jagged
jockeys,jockey,jockeys,PROPN,jockeys,jockey,Noun,1,Step 1: SUBTLEX-UK,jockey,False,jockey
juicing,juice,juicing,ADJ,juicing,juice,Verb,1,Step 1: SUBTLEX-UK,juice,False,juice
justifies,justify,justifie,NOUN,justifies,justify,Verb,1,Step 1: SUBTLEX-UK,justify,False,justify
killers,killer,killers,PROPN,killers,killer,Noun,1,Step 1: SUBTLEX-UK,killer,False,killer
kneeing,knee,kneee,VERB,kneeing,knee,Verb,1,Step 1: SUBTLEX-UK,knee,False,knee
knelt,kneel,knelt,VERB,knelt,kneel,Verb,1,Step 1: SUBTLEX-UK,kneel,False,kneel
knitting,knit,knitting,NOUN,knitting,knit,Noun,1,Step 1: SUBTLEX-UK,knit,False,knit
knocks,knock,knocks,PROPN,knocks,knock,Noun,1,Step 1: SUBTLEX-UK,knock,False,knock
lain,lie,lain,VERB,lain,lie,Verb,1,Step 1: SUBTLEX-UK,lie,False,lie
lamping,lamp,lampe,VERB,lamping,lamp,Verb,1,Step 1: SUBTLEX-UK,lamp,False,lamp
landing,landing,land,VERB,landing,landing,Noun,1,Step 1: SUBTLEX-UK,landing,False,landing
larvae,larva,larvae,PROPN,larvae,larva,Noun,1,Step 1: SUBTLEX-UK,larva,False,larva
lasting,lasting,last,VERB,lasting,lasting,Adjective,1,Step 1: SUBTLEX-UK,lasting,False,lasting
leafs,leaf,leafs,NOUN,leafs,leaf,Noun,1,Step 1: SUBTLEX-UK,leaf,False,leaf
leant,lean,leant,NOUN,leant,lean,Verb,1,Step 1: SUBTLEX-UK,lean,False,lean
leapt,leap,leapt,VERB,leapt,leap,Verb,1,Step 1: SUBTLEX-UK,leap,False,leap
legged,leg,legge,VERB,legged,leg,Adjective,1,Step 1: SUBTLEX-UK,leg,False,leg
legging,leg,legge,VERB,legging,leg,Verb,1,Step 1: SUBTLEX-UK,leg,False,leg
lens,lens,len,NOUN,lens,lens,Noun,1,Step 1: SUBTLEX-UK,lens,False,lens
lenses,lens,lense,NOUN,lenses,lens,Noun,1,Step 1: SUBTLEX-UK,lens,False,lens
lettering,lettering,letter,VERB,lettering,lettering,Noun,1,Step 1: SUBTLEX-UK,lettering,False,lettering
libraries,library,librarie,VERB,libraries,library,Noun,1,Step 1: SUBTLEX-UK,library,False,library
lice,louse,lice,NOUN,lice,louse,Noun,1,Step 1: SUBTLEX-UK,louse,False,louse
lighting,lighting,light,VERB,lighting,lighting,Noun,1,Step 1: SUBTLEX-UK,lighting,False,lighting
likenesses,likeness,likenesse,VERB,likenesses,likeness,Noun,1,Step 1: SUBTLEX-UK,likeness,False,likeness
limbed,limb,limbe,VERB,limbed,limb,,1,Step 1: SUBTLEX-UK,limb,False,limb
livered,liver,livere,VERB,livered,liver,,1,Step 1: SUBTLEX-UK,liver,False,liver
lives,life,live,VERB,lives,life,Noun,1,Step 1: SUBTLEX-UK,life,False,life
loafs,loaf,loafs,PROPN,loafs,loaf,Verb,1,Step 1: SUBTLEX-UK,loaf,False,loaf
looses,loose,loos,NOUN,looses,loose,Verb,1,Step 1: SUBTLEX-UK,loose,False,loose
lousier,lousy,lousier,PROPN,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,lousy,False,lousy
lowing,low,lowing,PROPN,lowing,low,Verb,1,Step 1: SUBTLEX-UK,low,False,low
lucked,luck,lucke,VERB,lucked,luck,Verb,1,Step 1: SUBTLEX-UK,luck,False,luck
marches,march,marche,NOUN,marches,march,Noun,1,Step 1: SUBTLEX-UK,march,False,march
marries,marry,marrie,NOUN,marries,marry,Verb,1,Step 1: SUBTLEX-UK,marry,False,marry
masses,mass,masse,NOUN,masses,mass,Noun,1,Step 1: SUBTLEX-UK,mass,False,mass
mathematics,mathematics,mathematic,NOUN,mathematics,mathematics,Noun,1,Step 1: SUBTLEX-UK,mathematics,False,mathematics
maxima,maximum,maxima,PROPN,maxima,maximum,Noun,1,Step 1: SUBTLEX-UK,maximum,False,maximum
meaning,meaning,mean,VERB,meaning,meaning,Noun,1,Step 1: SUBTLEX-UK,meaning,False,meaning
meeting,meeting,meet,VERB,meeting,meeting,Noun,1,Step 1: SUBTLEX-UK,meeting,False,meeting
menus,menu,menus,PROPN,menus,menu,Noun,1,Step 1: SUBTLEX-UK,menu,False,menu
mini,minus,mini,X,mini,minus,Adjective,1,Step 1: SUBTLEX-UK,minus,False,minus
minima,minimum,minima,PROPN,minima,minimum,,1,Step 1: SUBTLEX-UK,minimum,False,minimum
minuted,minute,minuted,ADJ,minuted,minute,,1,Step 1: SUBTLEX-UK,minute,False,minute
mistresses,mistress,mistresse,VERB,mistresses,mistress,Noun,1,Step 1: SUBTLEX-UK,mistress,False,mistress
moderated,moderate,moderated,ADJ,moderated,moderate,Verb,1,Step 1: SUBTLEX-UK,moderate,False,moderate
modifies,modify,modifie,NOUN,modifies,modify,Verb,1,Step 1: SUBTLEX-UK,modify,False,modify
molten,molten,melt,VERB,molten,molten,Adjective,1,Step 1: SUBTLEX-UK,molten,False,molten
monies,money,monie,NOUN,monies,money,Noun,1,Step 1: SUBTLEX-UK,money,False,money
mown,mow,mown,VERB,mown,mow,Verb,1,Step 1: SUBTLEX-UK,mow,False,mow
muddies,muddy,muddie,NOUN,muddies,muddy,,1,Step 1: SUBTLEX-UK,muddy,False,muddy
muds,mud,muds,PROPN,muds,mud,Noun,1,Step 1: SUBTLEX-UK,mud,False,mud
mumbling,mumble,mumbling,ADJ,mumbling,mumble,Verb,1,Step 1: SUBTLEX-UK,mumble,False,mumble
nighted,night,nighte,VERB,nighted,night,,1,Step 1: SUBTLEX-UK,night,False,night
nodes,node,nod,VERB,nodes,node,Noun,1,Step 1: SUBTLEX-UK,node,False,node
nosing,nose,nosing,NOUN,nosing,nose,Verb,1,Step 1: SUBTLEX-UK,nose,False,nose
notifies,notify,notifie,NOUN,notifies,notify,Verb,1,Step 1: SUBTLEX-UK,notify,False,notify
nuclei,nucleus,nuclei,PROPN,nuclei,nucleus,Noun,1,Step 1: SUBTLEX-UK,nucleus,False,nucleus
numbs,numb,numbs,PROPN,numbs,numb,Verb,1,Step 1: SUBTLEX-UK,numb,False,numb
odds,odds,odd,NOUN,odds,odds,Noun,1,Step 1: SUBTLEX-UK,odds,False,odds
omen,omen,oman,NOUN,omen,omen,Noun,1,Step 1: SUBTLEX-UK,omen,False,omen
opening,opening,open,VERB,opening,opening,Noun,1,Step 1: SUBTLEX-UK,opening,False,opening
optics,optics,optic,NOUN,optics,optics,Noun,1,Step 1: SUBTLEX-UK,optics,False,optics
outing,outing,out,VERB,outing,outing,Noun,1,Step 1: SUBTLEX-UK,outing,False,outing
padding,padding,pad,VERB,padding,padding,Noun,1,Step 1: SUBTLEX-UK,padding,False,padding
painting,painting,paint,VERB,painting,painting,Noun,1,Step 1: SUBTLEX-UK,painting,False,painting
parentheses,parenthesis,parenthese,VERB,,,Noun,2,Step 2: SUBTLEX-US + NLTK,parenthesis,False,parenthesis
partied,party,partie,VERB,partied,party,Verb,1,Step 1: SUBTLEX-UK,party,False,party
parting,parting,part,VERB,parting,parting,Noun,1,Step 1: SUBTLEX-UK,parting,False,parting
partnering,partner,partnering,NOUN,partnering,partner,Verb,1,Step 1: SUBTLEX-UK,partner,False,partner
paved,pave,paved,VERB,paved,pave,Verb,1,Step 1: SUBTLEX-UK,pave,False,pave
peered,peer,peered,ADJ,peered,peer,Verb,1,Step 1: SUBTLEX-UK,peer,False,peer
perishes,perish,perishe,NOUN,perishes,perish,Verb,1,Step 1: SUBTLEX-UK,perish,False,perish
pettier,petty,pettier,PROPN,,,Adjective,2,Step 2: SUBTLEX-US + NLTK,petty,False,petty
photographed,photograph,photographed,VERB,photographed,photograph,Verb,1,Step 1: SUBTLEX-UK,photograph,False,photograph
picnicked,picnic,picnicked,ADJ,picnicked,picnic,,1,Step 1: SUBTLEX-UK,picnic,False,picnic
pilled,pill,pille,VERB,pilled,pill,Verb,1,Step 1: SUBTLEX-UK,pill,False,pill
pinches,pinch,pinche,NOUN,pinches,pinch,Verb,1,Step 1: SUBTLEX-UK,pinch,False,pinch
piped,pipe,piped,VERB,piped,pipe,Verb,1,Step 1: SUBTLEX-UK,pipe,False,pipe
plateaux,plateau,plateaux,PROPN,plateaux,plateau,,1,Step 1: SUBTLEX-UK,plateau,False,plateau
pleasing,please,pleasing,ADJ,pleasing,please,Adjective,1,Step 1: SUBTLEX-UK,please,False,please
plucking,pluck,plucking,ADJ,plucking,pluck,Verb,1,Step 1: SUBTLEX-UK,pluck,False,pluck
plumbing,plumbing,plumb,VERB,plumbing,plumbing,Noun,1,Step 1: SUBTLEX-UK,plumbing,False,plumbing
polished,polish,polished,ADJ,polished,polish,Verb,1,Step 1: SUBTLEX-UK,polish,False,polish
politics,politics,politic,NOUN,politics,politics,Noun,1,Step 1: SUBTLEX-UK,politics,False,politics
popped,pop,popped,VERB,popped,pop,Verb,1,Step 1: SUBTLEX-UK,pop,False,pop
porches,porch,porche,VERB,porches,porch,Noun,1,Step 1: SUBTLEX-UK,porch,False,porch
powdering,powder,powdering,NOUN,powdering,powder,Verb,1,Step 1: SUBTLEX-UK,powder,False,powder
preaches,preach,preache,NOUN,preaches,preach,Verb,1,Step 1: SUBTLEX-UK,preach,False,preach
precedented,precedent,precedente,VERB,precedented,precedent,,1,Step 1: SUBTLEX-UK,precedent,False,precedent
printing,printing,print,VERB,printing,printing,Noun,1,Step 1: SUBTLEX-UK,printing,False,printing
proceeds,proceeds,proceed,VERB,proceeds,proceeds,Noun,1,Step 1: SUBTLEX-UK,proceeds,False,proceeds
profiting,profit,profiting,ADJ,profiting,profit,Verb,1,Step 1: SUBTLEX-UK,profit,False,profit
promising,promising,promise,VERB,promising,promising,Adjective,1,Step 1: SUBTLEX-UK,promising,False,promising
propertied,property,propertie,VERB,propertied,property,Verb,1,Step 1: SUBTLEX-UK,property,False,property
publishes,publish,publishe,NOUN,publishes,publish,Verb,1,Step 1: SUBTLEX-UK,publish,False,publish
