word,word_detected,onset,offset,story_audio,PoS
somehow,somehow,604.429999,605.119999,21styear,RB
she's,she's,605.139999,605.389999,21styear,NNS
also,also,605.389999,605.729999,21styear,RB
excited,excited,605.73,606.5600000000001,21styear,VBD
Margaret's,margaret's,607.0,607.51,21styear,NNP
phone,phone,607.509999,607.939999,21styear,NN
vibrates,vibrates,607.95,608.51,21styear,NNS
in,in,608.509999,608.619999,21styear,IN
her,her,608.62,608.74,21styear,PRP$
purse,purse,608.74,609.37,21styear,NN
She,she,609.799999,609.999999,21styear,PRP
knows,knows,610.0,610.35,21styear,VBZ
it's,,,,21styear,JJ
Steven,steven,610.5,611.22,21styear,NNP
and,and,611.74,611.91,21styear,CC
she,she,611.91,612.04,21styear,PRP
doesn't,doesn't,612.049999,612.439999,21styear,VBD
look,look,612.5,612.82,21styear,VB
I,i,619.72,619.83,21styear,PRP
don't,don't,619.84,620.07,21styear,VBP
want,want,620.07,620.32,21styear,VB
to,to,620.33,620.45,21styear,TO
go,go,620.45,620.58,21styear,VB
back,back,620.58,620.85,21styear,RB
to,to,620.849999,620.989999,21styear,TO
New,new,620.99,621.11,21styear,NNP
York,york,621.11,621.5,21styear,NNP
Clara,clara,621.679999,622.049999,21styear,NNP
says,says,622.05,622.37,21styear,VBZ
quietly,quietly,622.37,623.15,21styear,RB
The,the,623.32,623.4200000000001,21styear,DT
dishes,dishes,623.42,623.8199999999999,21styear,NNS
from,from,623.82,624.0200000000001,21styear,IN
last,last,624.02,624.34,21styear,JJ
night,night,624.34,624.61,21styear,NN
are,are,624.61,624.6800000000001,21styear,VBP
still,still,624.679999,625.009999,21styear,RB
in,in,625.009999,625.099999,21styear,IN
the,the,625.099999,625.219999,21styear,DT
sink,sink,625.219999,625.739999,21styear,NN
Gary,gary,625.99,626.28,21styear,NNP
has,has,626.29,626.48,21styear,VBZ
a,a,626.48,626.54,21styear,DT
meeting,meeting,626.54,626.98,21styear,NN
with,with,626.98,627.12,21styear,IN
his,his,627.23,627.26,21styear,PRP$
advisors,advisors,627.26,627.78,21styear,NNS
to,to,627.95,628.08,21styear,TO
discuss,discuss,628.08,628.64,21styear,VB
the,the,628.67,628.8299999999999,21styear,DT
internship,internship,628.83,629.73,21styear,NN
Of,of,629.940001,630.100001,21styear,IN
course,course,630.1,630.39,21styear,NN
he's,he's,630.39,630.6,21styear,NN
late,late,630.619999,631.099999,21styear,JJ
And,and,631.21,631.38,21styear,CC
now,now,631.38,631.51,21styear,RB
the,the,631.51,631.61,21styear,DT
dishes,dishes,631.61,631.97,21styear,NNS
won't,won't,631.97,632.13,21styear,VBP
be,be,632.14,632.28,21styear,VB
done,done,632.28,632.52,21styear,VBN
until,until,632.52,632.78,21styear,IN
this,this,632.78,633.0,21styear,DT
evening,evening,633.0,633.56,21styear,NN
Crusted,crusted,633.8,634.2299999999999,21styear,VBD
chili,chili,634.23,634.9,21styear,JJ
Soap,soap,634.99,635.51,21styear,NNP
bubbles,bubbles,635.64,636.17,21styear,NNS
Scrub,scrub,636.31,637.02,21styear,NNP
She's,she's,637.2,637.45,21styear,NNP
shopped,shopped,637.45,637.9200000000001,21styear,VBD
and,and,637.93,638.0999999999999,21styear,CC
cooked,cooked,638.099999,638.4199990000001,21styear,VBD
and,and,638.42,638.56,21styear,CC
served,served,638.559999,638.9699989999999,21styear,VBD
and,and,638.97,639.12,21styear,CC
now,now,639.12,639.26,21styear,RB
dishes,dishes,639.27,639.6999999999999,21styear,VBZ
again,again,639.7,640.25,21styear,RB
I'll,i'll,640.599999,640.759999,21styear,NNP
do,do,640.76,641.01,21styear,VBP
them,them,641.01,641.23,21styear,PRP
later,later,641.23,641.6800000000001,21styear,RB
Clara,clara,641.679999,642.1099989999999,21styear,NNP
don't,don't,642.11,642.38,21styear,NN
fuss,fuss,642.389999,642.8199989999999,21styear,VBD
Gary,gary,642.84,643.19,21styear,NNP
says,says,643.19,643.6800000000001,21styear,VBZ
as,as,643.719999,643.879999,21styear,IN
he,he,643.88,643.99,21styear,PRP
flips,flips,643.99,644.37,21styear,VBZ
over,over,644.37,644.6,21styear,IN
tupperware,tupperware,644.599999,645.259999,21styear,NN
newspapers,newspapers,645.27,646.17,21styear,NNS
looking,looking,646.190001,646.820001,21styear,VBG
You've,you've,647.25,647.49,21styear,NNP
seen,seen,647.49,647.78,21styear,VBN
my,my,647.779999,647.939999,21styear,PRP$
wallet,wallet,647.940001,648.590001,21styear,NN
How,how,648.98,649.1700000000001,21styear,NNP
long,long,649.17,649.38,21styear,RB
is,is,649.38,649.49,21styear,VBZ
this,this,649.49,649.66,21styear,DT
internship,internship,649.67,650.29,21styear,JJ
Gary,gary,650.29,650.91,21styear,NNP
September,september,651.39,651.92,21styear,NNP
to,to,651.92,652.05,21styear,TO
June,june,652.05,652.67,21styear,NNP
Without,without,653.13,653.51,21styear,IN
getting,getting,653.51,653.8199999999999,21styear,VBG
paid,paid,653.82,654.4000000000001,21styear,VBN
I,i,654.83,654.98,21styear,PRP
can't,can't,654.98,655.29,21styear,VBP
afford,afford,655.29,655.65,21styear,RB
to,to,655.65,655.75,21styear,TO
float,float,655.75,656.08,21styear,VB
this,this,656.08,656.2900000000001,21styear,DT
whole,whole,656.29,656.4599999999999,21styear,JJ
place,place,656.46,656.8000000000001,21styear,NN
by,by,656.82,656.98,21styear,IN
myself,myself,656.98,657.87,21styear,PRP
Gary,gary,658.21,658.5600000000001,21styear,NNP
heads,heads,658.559999,658.8699989999999,21styear,NNS
to,to,658.87,659.01,21styear,TO
the,the,659.01,659.12,21styear,DT
door,door,659.12,659.63,21styear,NN
I'm,i'm,659.92,660.11,21styear,NNP
sure,sure,660.11,660.35,21styear,NN
you,you,660.349999,660.469999,21styear,PRP
can,can,660.469999,660.609999,21styear,MD
be,be,660.61,660.74,21styear,VB
a,a,660.74,660.8,21styear,DT
journalist,journalist,660.799999,661.379999,21styear,NN
in,in,661.38,661.48,21styear,IN
New,new,661.48,661.59,21styear,NNP
York,york,661.59,661.98,21styear,NNP
too,too,661.98,662.5500000000001,21styear,RB
But,but,662.99,663.16,21styear,CC
she,she,663.16,663.31,21styear,PRP
just,just,663.309999,663.6099989999999,21styear,RB
signed,signed,663.61,663.94,21styear,VBD
her,her,663.94,664.0600000000001,21styear,PRP
contract,contract,664.059999,664.7199989999999,21styear,NN
here,here,664.719999,665.019999,21styear,RB
and,and,665.029999,665.1999989999999,21styear,CC
he,he,665.199999,665.339999,21styear,PRP
knows,knows,665.34,665.75,21styear,VBZ
it,it,665.75,666.13,21styear,PRP
We,we,666.85,666.99,21styear,PRP
should,should,667.02,667.1899999999999,21styear,MD
have,have,667.19,667.3100000000001,21styear,VB
talked,talked,667.33,667.61,21styear,VBN
this,this,667.61,667.8000000000001,21styear,DT
move,move,667.8,668.06,21styear,NN
through,through,668.07,668.4300000000001,21styear,IN
before,before,668.43,668.78,21styear,IN
you,you,668.78,668.92,21styear,PRP
applied,applied,668.92,669.7099999999999,21styear,VBD
He,he,669.89,670.1,21styear,PRP
laughs,laughs,670.1,670.72,21styear,VBZ
You,you,670.81,670.9699999999999,21styear,PRP
would,would,670.97,671.09,21styear,MD
have,have,671.09,671.21,21styear,VB
talked,talked,671.23,671.53,21styear,VBN
me,me,671.53,671.6899999999999,21styear,PRP
out,out,671.69,671.85,21styear,IN
of,of,671.85,672.0,21styear,IN
it,it,672.0,672.34,21styear,PRP
For,for,672.82,673.0100000000001,21styear,IN
a,a,673.01,673.06,21styear,DT
moment,moment,673.06,673.5699999999999,21styear,NN
he,he,673.58,673.76,21styear,PRP
looks,looks,673.76,674.01,21styear,VBZ
like,like,674.01,674.1899999999999,21styear,IN
a,a,674.19,674.23,21styear,DT
boy,boy,674.23,674.87,21styear,NN
getting,getting,674.98,675.29,21styear,VBG
caught,caught,675.3,675.8599999999999,21styear,VBN
and,and,675.95,676.12,21styear,CC
standing,standing,676.12,676.54,21styear,VBG
up,up,676.54,676.6899999999999,21styear,RP
in,in,676.69,676.8000000000001,21styear,IN
defiance,defiance,676.8,677.7099999999999,21styear,NN
Almost,almost,677.759999,678.189999,21styear,NNP
charming,charming,678.19,678.9300000000001,21styear,NN
But,but,679.08,679.24,21styear,CC
he,he,679.24,679.29,21styear,PRP
is,is,679.29,679.37,21styear,VBZ
thirty,thirty,679.37,679.7,21styear,JJ
five,five,679.7,680.38,21styear,CD
What's,what's,680.809999,681.039999,21styear,NNP
good,good,681.04,681.23,21styear,NN
for,for,681.23,681.34,21styear,IN
me,me,681.349999,681.5499990000001,21styear,PRP
Clara,clara,681.549999,681.9799989999999,21styear,NNP
is,is,681.99,682.15,21styear,VBZ
also,also,682.15,682.4399999999999,21styear,RB
good,good,682.440001,682.6600010000001,21styear,JJ
for,for,682.66,682.81,21styear,IN
us,us,682.809999,683.399999,21styear,PRP
That,that,683.91,684.0799999999999,21styear,IN
certainly,certainly,684.08,684.51,21styear,RB
used,used,684.51,684.85,21styear,VBN
to,to,684.85,684.9300000000001,21styear,TO
be,be,684.94,685.08,21styear,VB
true,true,685.09,685.64,21styear,JJ
Is,is,686.19,686.32,21styear,VBZ
it,it,686.32,686.5100000000001,21styear,PRP
now,now,686.51,687.13,21styear,RB
Alexander,alexander,693.179999,693.799999,21styear,NNP
pays,pays,693.8,694.15,21styear,NNS
for,for,694.15,694.27,21styear,IN
their,their,694.27,694.41,21styear,PRP$
hotdogs,hotdogs,694.42,694.9599999999999,21styear,NNS
with,with,694.96,695.11,21styear,IN
crumpled,crumpled,695.11,695.47,21styear,VBN
up,up,695.469999,695.589999,21styear,RP
dollar,dollar,695.59,695.9,21styear,NN
bills,bills,695.9,696.31,21styear,NNS
he,he,696.309999,696.409999,21styear,PRP
pulls,pulls,696.41,696.66,21styear,VBZ
out,out,696.66,696.78,21styear,IN
of,of,696.78,696.91,21styear,IN
his,his,696.91,697.05,21styear,PRP$
pocket,pocket,697.049999,697.5699989999999,21styear,NN
New,new,698.02,698.16,21styear,NNP
York,york,698.16,698.4699999999999,21styear,NNP
is,is,698.469999,698.599999,21styear,VBZ
the,the,698.599999,698.699999,21styear,DT
best,best,698.7,699.21,21styear,JJS
I'm,i'm,699.21,699.32,21styear,NNP
so,so,699.32,699.47,21styear,RB
glad,glad,699.469999,699.819999,21styear,JJ
to,to,699.82,699.9100000000001,21styear,TO
be,be,699.92,700.06,21styear,VB
back,back,700.059999,700.549999,21styear,RB
The,the,700.92,701.04,21styear,DT
last,last,701.039999,701.439999,21styear,JJ
eight,eight,701.440001,701.610001,21styear,CD
years,years,701.609999,701.9299990000001,21styear,NNS
have,have,701.93,702.03,21styear,VBP
been,been,702.029999,702.189999,21styear,VBN
good,good,702.190001,702.4000010000001,21styear,JJ
to,to,702.4,702.53,21styear,TO
him,him,702.53,702.87,21styear,PRP
He,he,703.07,703.22,21styear,PRP
still,still,703.22,703.52,21styear,RB
has,has,703.52,703.6999999999999,21styear,VBZ
a,a,703.7,703.7700000000001,21styear,DT
cat,cat,703.77,704.17,21styear,NN
in,in,704.2,704.34,21styear,IN
his,his,704.34,704.49,21styear,PRP$
step,step,704.49,705.0,21styear,NN
My,my,705.55,705.7299999999999,21styear,PRP$
new,new,705.73,705.9,21styear,JJ
apartment,apartment,705.9,706.27,21styear,NN
looks,looks,706.31,706.55,21styear,VBZ
great,great,706.55,706.88,21styear,JJ
Maggie,maggie,706.89,707.4,21styear,NNP
he,he,707.43,707.5799999999999,21styear,PRP
says,says,707.58,708.11,21styear,VBZ
You'll,you'll,708.28,708.51,21styear,NNP
see,see,708.51,708.99,21styear,NN
I,i,709.08,709.13,21styear,PRP
bet,bet,709.21,709.44,21styear,VBP
you'll,you'll,709.44,709.5500000000001,21styear,RB
want,want,709.55,709.7199999999999,21styear,VBP
to,to,709.72,709.7900000000001,21styear,TO
move,move,709.79,710.03,21styear,VB
in,in,710.03,710.42,21styear,IN
Is,is,711.05,711.2099999999999,21styear,NNP
this,this,711.21,711.38,21styear,DT
a,a,711.38,711.45,21styear,DT
come,come,711.45,711.69,21styear,VBN
on,on,711.69,711.85,21styear,IN
line,line,711.849999,712.359999,21styear,NN
She,she,712.62,712.8,21styear,PRP
catches,catches,712.8,713.18,21styear,VBZ
a,a,713.179999,713.2299989999999,21styear,DT
glimpse,glimpse,713.23,713.54,21styear,NN
of,of,713.54,713.67,21styear,IN
herself,herself,713.67,714.0999999999999,21styear,NN
in,in,714.099999,714.199999,21styear,IN
a,a,714.2,714.26,21styear,DT
window,window,714.259999,714.879999,21styear,NN
and,and,714.929999,715.049999,21styear,CC
is,is,715.049999,715.159999,21styear,VBZ
suddenly,suddenly,715.16,715.63,21styear,RB
aware,aware,715.63,716.01,21styear,JJ
she,she,716.009999,716.159999,21styear,PRP
should,should,716.16,716.3299999999999,21styear,MD
have,have,716.33,716.45,21styear,VB
colored,colored,716.469999,716.839999,21styear,VBN
her,her,716.839999,716.999999,21styear,PRP$
hair,hair,717.0,717.57,21styear,JJ
New,new,718.24,718.39,21styear,NNP
York,york,718.389999,718.599999,21styear,NNP
is,is,718.6,718.72,21styear,VBZ
very,very,718.719999,718.9399990000001,21styear,RB
glad,glad,718.940001,719.210001,21styear,JJ
you're,you're,719.209999,719.319999,21styear,NN
back,back,719.32,719.6500000000001,21styear,RB
she,she,719.76,719.98,21styear,PRP
says,says,719.98,720.5,21styear,VBZ
The,the,720.85,720.99,21styear,DT
hot,hot,720.99,721.21,21styear,JJ
dog,dog,721.21,721.47,21styear,NN
mustard,mustard,721.47,721.82,21styear,NN
drips,drips,721.83,722.1600000000001,21styear,NNS
on,on,722.16,722.28,21styear,IN
her,her,722.29,722.42,21styear,PRP$
blouse,blouse,722.42,723.16,21styear,NN
Alexander,alexander,723.45,724.0200000000001,21styear,NNP
clears,clears,724.02,724.4499999999999,21styear,VBZ
it,it,724.45,724.7,21styear,PRP
licks,licks,724.76,724.97,21styear,VBZ
his,his,724.97,725.13,21styear,PRP$
finger,finger,725.13,725.48,21styear,NN
and,and,725.48,725.62,21styear,CC
smiles,smiles,725.62,726.47,21styear,VBZ
His,his,726.89,727.11,21styear,PRP$
eyes,eyes,727.11,727.38,21styear,NNS
land,land,727.38,727.67,21styear,VBP
on,on,727.67,727.8499999999999,21styear,IN
hers,hers,727.85,728.2900000000001,21styear,NNS
as,as,728.32,728.45,21styear,IN
she,she,728.45,728.57,21styear,PRP
waits,,,,21styear,VBZ
for,for,728.88,729.03,21styear,IN
his,his,729.03,729.2099999999999,21styear,PRP$
words,words,729.21,729.86,21styear,NNS
I,i,730.48,730.59,21styear,PRP
need,need,730.59,730.7900000000001,21styear,VBP
you,you,730.79,730.88,21styear,PRP
to,to,730.88,730.99,21styear,TO
connect,connect,730.99,731.4,21styear,VB
me,me,731.4,731.51,21styear,PRP
with,with,731.509999,731.709999,21styear,IN
your,your,731.71,731.8100000000001,21styear,PRP$
former,former,731.809999,732.139999,21styear,JJ
colleagues,colleagues,732.139999,732.589999,21styear,NNS
on,on,732.59,732.74,21styear,IN
Wall,wall,732.74,732.94,21styear,NNP
Street,street,732.94,733.4300000000001,21styear,NNP
he,he,733.469999,733.639999,21styear,PRP
says,says,733.639999,734.129999,21styear,VBZ
We're,we're,734.57,734.71,21styear,NNP
working,working,734.71,735.0500000000001,21styear,VBG
on,on,735.049999,735.169999,21styear,IN
a,a,735.17,735.2199999999999,21styear,DT
major,major,735.219999,735.529999,21styear,JJ
piece,piece,735.53,735.85,21styear,NN
on,on,735.849999,735.969999,21styear,IN
international,international,735.969999,736.579999,21styear,JJ
corruption,corruption,736.58,737.23,21styear,NN
It's,it's,737.4,737.62,21styear,NNP
Pulitzer,pulitzer,737.699999,738.0499990000001,21styear,NNP
worthy,worthy,738.049999,738.5799989999999,21styear,JJ
Margaret,margaret,739.77,739.93,21styear,NNP
is,is,739.93,740.0699999999999,21styear,VBZ
so,so,740.07,740.32,21styear,RB
aware,aware,740.32,740.63,21styear,JJ
of,of,740.63,740.76,21styear,IN
her,her,740.76,740.88,21styear,PRP$
aging,aging,740.88,741.34,21styear,VBG
neck,neck,741.34,741.74,21styear,NN
That's,that's,742.03,742.36,21styear,NNP
why,why,742.37,742.55,21styear,WRB
he,he,742.55,742.68,21styear,PRP
called,called,742.68,743.1899999999999,21styear,VBD
a,a,743.28,743.38,21styear,DT
little,little,743.38,743.66,21styear,JJ
networking,networking,743.66,744.3199999999999,21styear,JJ
opportunity,opportunity,744.32,745.13,21styear,NN
That's,that's,745.17,745.49,21styear,NNP
what,what,745.49,745.64,21styear,WP
this,this,745.64,745.8199999999999,21styear,DT
meeting,meeting,745.85,746.23,21styear,NN
is,is,746.24,746.77,21styear,VBZ
She,she,747.49,747.66,21styear,PRP
touches,touches,747.66,748.05,21styear,VBZ
her,her,748.05,748.1899999999999,21styear,PRP$
neck,neck,748.19,748.6400000000001,21styear,NN
She,she,748.92,749.06,21styear,PRP
wants,wants,749.059999,749.279999,21styear,VBZ
to,to,749.28,749.38,21styear,TO
protect,protect,749.38,749.77,21styear,VB
herself,herself,749.77,750.26,21styear,PRP
She,she,750.309999,750.4599989999999,21styear,PRP
wants,wants,750.46,750.72,21styear,VBZ
to,to,750.719999,750.829999,21styear,TO
hide,hide,750.83,751.5,21styear,VB
Alexander,alexander,752.059999,752.639999,21styear,NNP
hands,hands,752.639999,752.959999,21styear,NNS
Margaret,margaret,752.96,753.3000000000001,21styear,NNP
his,his,753.299999,753.509999,21styear,PRP$
card,card,753.509999,754.009999,21styear,NN
Have,have,754.209999,754.4299990000001,21styear,VBP
Sasha,sasha,754.43,754.7399999999999,21styear,NNP
call,call,754.779999,755.009999,21styear,VB
me,me,755.01,755.21,21styear,PRP
he,he,755.209999,755.359999,21styear,PRP
says,says,755.359999,755.819999,21styear,VBZ
I'm,i'm,755.99,756.16,21styear,NNP
looking,looking,756.16,756.4499999999999,21styear,VBG
for,for,756.45,756.58,21styear,IN
interns,interns,756.59,757.01,21styear,NNS
and,and,757.01,757.16,21styear,CC
she,she,757.16,757.3,21styear,PRP
sounds,sounds,757.3,757.62,21styear,VBZ
like,like,757.62,757.78,21styear,IN
a,a,757.78,757.8199999999999,21styear,DT
catch,catch,757.8599999999999,758.4999999999999,21styear,NN
Here,here,765.17,765.1999999999999,21styear,RB
is,is,765.37,765.52,21styear,VBZ
your,your,765.52,765.64,21styear,PRP$
lunch,lunch,765.639999,766.1999989999999,21styear,NN
Leftovers,leftovers,766.469999,767.0599990000001,21styear,NNPS
in,in,767.059999,767.179999,21styear,IN
blue,blue,767.179999,767.399999,21styear,JJ
tupperware,tupperware,767.4,768.14,21styear,NN
We're,we're,768.34,768.47,21styear,NNP
postponing,postponing,768.469999,769.0599990000001,21styear,VBG
our,our,769.059999,769.189999,21styear,PRP$
lives,lives,769.19,769.61,21styear,NNS
Gary,gary,769.61,770.2,21styear,NNP
What,what,770.34,770.47,21styear,WP
about,about,770.469999,770.6899990000001,21styear,IN
getting,getting,770.69,770.99,21styear,VBG
a,a,770.99,771.05,21styear,DT
job,job,771.049999,771.6999989999999,21styear,NN
Between,between,772.15,772.51,21styear,NNP
looking,looking,772.51,772.79,21styear,VBG
for,for,772.789999,772.939999,21styear,IN
keys,keys,772.940001,773.440001,21styear,NNS
and,and,773.440001,773.580001,21styear,CC
slipping,slipping,773.58,773.9200000000001,21styear,VBG
on,on,773.92,774.06,21styear,IN
flip,flip,774.059999,774.3199989999999,21styear,NN
flops,flops,774.33,774.88,21styear,NNS
Gary,gary,774.889999,775.259999,21styear,NNP
sets,sets,775.28,775.62,21styear,VBZ
the,the,775.62,775.73,21styear,DT
tupperware,tupperware,775.73,776.21,21styear,NN
on,on,776.21,776.33,21styear,IN
the,the,776.33,776.4300000000001,21styear,DT
mail,mail,776.43,776.6999999999999,21styear,NN
table,table,776.7,777.1,21styear,NN
and,and,777.1,777.23,21styear,CC
forgets,forgets,777.23,777.64,21styear,VBZ
it,it,777.64,777.87,21styear,PRP
She,she,778.51,778.7,21styear,PRP
doesn't,doesn't,778.71,779.0,21styear,VBD
remind,remind,779.01,779.47,21styear,VB
him,him,779.47,779.82,21styear,PRP
The,the,780.11,780.22,21styear,DT
door,door,780.22,780.46,21styear,NN
closes,closes,780.46,781.23,21styear,VBZ
she,she,781.31,781.51,21styear,PRP
stares,stares,781.51,782.0699999999999,21styear,VBZ
at,at,782.11,782.35,21styear,IN
it,it,782.349999,782.659999,21styear,PRP
Next,next,783.349999,783.649999,21styear,NNP
to,to,783.65,783.79,21styear,TO
the,the,783.79,783.89,21styear,DT
tupperware,tupperware,783.889999,784.369999,21styear,NN
she,she,784.37,784.5600000000001,21styear,PRP
sees,sees,784.559999,784.8299989999999,21styear,VBZ
the,the,784.83,784.96,21styear,DT
envelope,,,,21styear,NN
from,from,785.4,785.59,21styear,IN
American,american,785.59,786.07,21styear,NNP
Express,express,786.07,786.9100000000001,21styear,NNP
Gary's,<unk>,787.059999,787.419999,21styear,NNP
business,business,787.45,787.87,21styear,NN
account,account,787.87,788.53,21styear,NN
She,she,788.79,788.9399999999999,21styear,PRP
takes,takes,788.94,789.19,21styear,VBZ
his,his,789.19,789.37,21styear,PRP$
lunch,lunch,789.37,789.74,21styear,NN
and,and,789.74,789.89,21styear,CC
tosses,tosses,789.889999,790.299999,21styear,VBZ
it,it,790.299999,790.409999,21styear,PRP
in,in,790.41,790.48,21styear,IN
the,the,790.48,790.58,21styear,DT
trash,trash,790.58,791.2700000000001,21styear,JJ
Whole,whole,791.33,791.58,21styear,NNP
tupperware,tupperware,791.59,792.27,21styear,NN
Then,then,792.74,792.94,21styear,RB
picks,picks,792.94,793.2,21styear,VBZ
it,it,793.2,793.36,21styear,PRP
out,out,793.36,793.77,21styear,RP
Opens,opens,794.06,794.4699999999999,21styear,VBZ
it,it,794.47,794.73,21styear,PRP
Tries,tries,794.98,795.4200000000001,21styear,VBZ
it,it,795.42,795.6999999999999,21styear,PRP
Cold,cold,796.07,796.4100000000001,21styear,NNP
chili,chili,796.41,796.98,21styear,VBZ
Her,her,797.58,797.75,21styear,PRP$
eyes,eyes,797.75,798.03,21styear,NNS
find,find,798.03,798.31,21styear,VB
his,his,798.31,798.4699999999999,21styear,PRP$
wallet,wallet,798.47,798.97,21styear,NN
Right,right,799.02,799.38,21styear,NNP
by,by,799.45,799.74,21styear,IN
the,the,799.75,799.87,21styear,DT
couch,couch,799.87,800.55,21styear,JJ
Four,four,800.97,801.34,21styear,CD
hundred,hundred,801.349999,801.759999,21styear,CD
dollars,dollars,801.77,802.26,21styear,NNS
for,for,802.27,802.41,21styear,IN
scotch,scotch,802.42,803.3499999999999,21styear,NN
She,she,803.69,803.8800000000001,21styear,PRP
shoves,shoves,803.88,804.27,21styear,VBZ
chili,chili,804.27,804.64,21styear,NN
in,in,804.639999,804.749999,21styear,IN
her,her,804.759999,804.889999,21styear,PRP$
mouth,mouth,804.889999,805.239999,21styear,NN
without,without,805.24,805.53,21styear,IN
stopping,stopping,805.53,806.28,21styear,VBG
Is,is,806.49,806.74,21styear,NNP
New,new,806.74,806.98,21styear,NNP
York,york,806.98,807.38,21styear,NNP
worth,worth,807.38,807.67,21styear,IN
the,the,807.679999,807.799999,21styear,DT
fight,fight,807.799999,808.4699989999999,21styear,NN
Every,every,808.74,809.2,21styear,NNP
bit,bit,809.199999,809.3999990000001,21styear,NN
of,of,809.4,809.54,21styear,IN
bean,bean,809.549999,810.0799989999999,21styear,JJ
Every,every,810.16,810.5699999999999,21styear,NNP
bit,bit,810.57,810.73,21styear,NN
of,of,810.73,810.87,21styear,IN
rice,rice,810.87,811.36,21styear,NN
It's,it's,811.47,811.69,21styear,NNP
all,all,811.69,811.84,21styear,DT
comfort,comfort,811.84,812.34,21styear,NN
now,now,812.34,812.83,21styear,RB
and,and,812.89,813.12,21styear,CC
then,then,813.12,813.54,21styear,RB
it's,it's,813.82,814.0300000000001,21styear,VB
all,all,814.03,814.2099999999999,21styear,DT
guilt,guilt,814.21,814.74,21styear,JJ
Across,across,815.49,815.9300000000001,21styear,NNP
town,town,815.95,816.2700000000001,21styear,NN
Gary,gary,816.27,816.56,21styear,NNP
sits,,,,21styear,NNS
in,,,,21styear,IN
his,his,816.94,817.07,21styear,PRP$
art,art,817.07,817.3000000000001,21styear,NN
studio,studio,817.3,818.05,21styear,NN
Drying,drying,818.27,818.71,21styear,NNP
photo,photo,818.71,819.07,21styear,NN
prints,prints,819.07,819.5200000000001,21styear,NNS
Moldy,moldy,819.52,819.86,21styear,NNP
coffee,coffee,819.86,820.27,21styear,NN
cups,cups,820.27,820.8199999999999,21styear,NN
He,he,821.059999,821.289999,21styear,PRP
knows,knows,821.29,821.81,21styear,VBZ
it's,it's,821.809999,821.999999,21styear,NN
in,in,822.0,822.18,21styear,IN
him,him,822.179999,822.3599989999999,21styear,PRP
the,the,822.36,822.5,21styear,DT
it,it,822.559999,823.059999,21styear,PRP
the,the,823.15,823.3199999999999,21styear,DT
something,something,823.32,824.0100000000001,21styear,NN
the,the,824.049999,824.169999,21styear,DT
drive,drive,824.17,825.03,21styear,NN
He,he,825.509999,825.649999,21styear,PRP
sits,sits,825.65,825.9599999999999,21styear,VBZ
paralyzed,paralyzed,826.02,826.81,21styear,VBN
under,under,826.809999,827.029999,21styear,IN
the,the,827.029999,827.139999,21styear,DT
light,light,827.139999,827.589999,21styear,JJ
He's,he's,827.84,828.12,21styear,NNP
losing,losing,828.12,828.55,21styear,VBG
her,her,828.55,829.0,21styear,PRP$
He,he,829.18,829.3,21styear,PRP
is,is,829.309999,829.499999,21styear,VBZ
losing,losing,829.51,829.9,21styear,VBG
his,his,829.9,830.13,21styear,PRP$
wife,wife,830.13,830.81,21styear,NN
He,he,831.14,831.28,21styear,PRP
looks,looks,831.28,831.48,21styear,VBZ
at,at,831.48,831.57,21styear,IN
his,his,831.57,831.74,21styear,PRP$
phone,phone,831.74,832.26,21styear,NN
He,he,832.77,832.87,21styear,PRP
should,should,832.87,833.23,21styear,MD
call,call,833.23,833.53,21styear,VB
Clara,clara,833.53,834.16,21styear,NNP
But,but,834.82,834.96,21styear,CC
he,he,834.96,835.0600000000001,21styear,PRP
doesn't,doesn't,835.06,835.53,21styear,VBZ
Margaret,margaret,841.69,842.1300000000001,21styear,NNP
re,re,842.13,842.28,21styear,NN
enters,enters,842.28,842.6,21styear,VBZ
the,the,842.599999,842.719999,21styear,DT
apartment,apartment,842.719999,843.1599990000001,21styear,NN
in,in,843.16,843.1999999999999,21styear,IN
a,a,843.339999,843.4399990000001,21styear,DT
horrible,horrible,843.44,843.95,21styear,JJ
mood,mood,843.95,844.4100000000001,21styear,NN
She,she,844.699999,844.869999,21styear,PRP
can,can,844.869999,845.019999,21styear,MD
hear,hear,845.02,845.27,21styear,VB
loud,loud,845.27,845.68,21styear,JJ
yelling,yelling,845.68,846.0899999999999,21styear,VBG
from,from,846.1,846.25,21styear,IN
the,the,846.25,846.35,21styear,DT
back,back,846.35,846.9,21styear,JJ
Steven,steven,847.18,847.55,21styear,NNP
yells,yells,847.55,847.8599999999999,21styear,NNS
at,at,847.86,847.96,21styear,IN
a,a,847.96,848.01,21styear,DT
man,man,848.01,848.5699999999999,21styear,NN
At,at,848.83,848.99,21styear,IN
ten,ten,848.99,849.25,21styear,JJ
o'clock,o'clock,849.25,849.6,21styear,NN
at,at,849.6,849.73,21styear,IN
night,night,849.73,850.11,21styear,NN
What,what,850.14,850.36,21styear,WP
the,the,850.36,850.51,21styear,DT
hell,hell,850.51,851.04,21styear,NN
The,the,851.53,851.67,21styear,DT
Super,super,851.67,852.15,21styear,NNP
is,is,852.15,852.3199999999999,21styear,VBZ
fighting,fighting,852.32,852.69,21styear,VBG
with,with,852.69,852.82,21styear,IN
Steven,steven,852.82,853.3900000000001,21styear,NNP
