Word,word_gentle,onset,offset,PoS,transcript,lemma,word,blankTR,onset_addblankTR,offset_addblankTR
friend,friend,446.389999,446.699999,NN,shapessocial,friend,friend,3,450.889999,451.199999
who,who,446.7,446.84,WP,shapessocial,who,who,3,451.2,451.34
quickly,quickly,446.87,447.3,RB,shapessocial,quickly,quickly,3,451.37,451.8
passes,passes,447.33,447.72,VBZ,shapessocial,pass,passes,3,451.83,452.22
it,it,447.719999,447.849999,PRP,shapessocial,it,it,3,452.219999,452.349999
back,back,447.86,448.26,RP,shapessocial,back,back,3,452.36,452.76
playing,playing,448.619999,449.019999,VBG,shapessocial,playing,playing,3,453.119999,453.519999
together,together,449.02,449.52,RB,shapessocial,together,together,3,453.52,454.02
in,in,449.52,449.66,IN,shapessocial,in,in,3,454.02,454.16
real,real,449.66,449.91,JJ,shapessocial,real,real,3,454.16,454.41
life,life,449.91,450.22,NN,shapessocial,life,life,3,454.41,454.72
just,just,450.23,450.6,RB,shapessocial,just,just,3,454.73,455.1
as,as,450.609999,450.769999,IN,shapessocial,a,as,3,455.109999,455.269999
they,they,450.77,450.98,PRP,shapessocial,they,they,3,455.27,455.48
had,had,450.98,451.38,VBD,shapessocial,had,had,3,455.48,455.88
in,in,451.389999,451.619999,IN,shapessocial,in,in,3,455.889999,456.119999
the,the,451.68,451.73,DT,shapessocial,the,the,3,456.18,456.23
dream,dream,451.73,452.33,NN,shapessocial,dream,dream,3,456.23,456.83
This,this,21.219999,21.289999,DT,21styear,this,this,0,21.219999,21.289999
is,is,21.46,21.65,VBZ,21styear,is,is,0,21.46,21.65
Los,los,21.66,21.94,JJ,21styear,los,los,0,21.66,21.94
Angeles,angeles,21.94,22.77,NNS,21styear,angeles,angeles,0,21.94,22.77
And,and,22.81,22.96,CC,21styear,and,and,0,22.81,22.96
it's,it's,22.96,23.12,VB,21styear,it's,it's,0,22.96,23.12
the,the,23.12,23.25,DT,21styear,the,the,0,23.12,23.25
height,height,23.25,23.54,NN,21styear,height,height,0,23.25,23.54
of,of,23.54,23.67,IN,21styear,of,of,0,23.54,23.67
summer,summer,23.67,24.25,NN,21styear,summer,summer,0,23.67,24.25
In,in,24.51,24.64,IN,21styear,in,in,0,24.51,24.64
a,a,24.64,24.72,DT,21styear,a,a,0,24.64,24.72
small,small,24.72,25.14,JJ,21styear,small,small,0,24.72,25.14
bungalow,bungalow,25.14,25.75,NN,21styear,bungalow,bungalow,0,25.14,25.75
off,off,25.75,26.02,IN,21styear,off,off,0,25.75,26.02
of,,,,IN,21styear,of,of,0,,
La,,,,NN,21styear,la,la,0,,
Cienega,<unk>,26.36,26.97,NN,21styear,cienega,cienega,0,26.36,26.97
Clara,clara,27.21,27.65,NN,21styear,clara,clara,0,27.21,27.65
serves,serves,27.65,28.08,NNS,21styear,serf,serves,0,27.65,28.08
homemade,homemade,28.08,28.58,VBD,21styear,homemade,homemade,0,28.08,28.58
chili,chili,28.58,28.96,NN,21styear,chili,chili,0,28.58,28.96
and,and,28.96,29.11,CC,21styear,and,and,0,28.96,29.11
chips,chips,29.11,29.51,NNS,21styear,chip,chips,0,29.11,29.51
in,in,29.509999,29.649999,IN,21styear,in,in,0,29.509999,29.649999
red,red,29.65,29.87,JJ,21styear,red,red,0,29.65,29.87
plastic,plastic,29.87,30.39,NN,21styear,plastic,plastic,0,29.87,30.39
bowls,bowls,30.389999,30.989999,NNS,21styear,bowl,bowls,0,30.389999,30.989999
wine,wine,31.25,31.7,VBP,21styear,wine,wine,0,31.25,31.7
in,in,31.7,31.81,IN,21styear,in,in,0,31.7,31.81
blue,blue,31.809999,32.039998999999995,JJ,21styear,blue,blue,0,31.809999,32.039998999999995
plastic,plastic,32.04,32.82,NN,21styear,plastic,plastic,0,32.04,32.82
The,the,33.099999,33.229999,DT,21styear,the,the,0,33.099999,33.229999
colors,colors,33.230000000000004,33.660000000000004,NNS,21styear,color,colors,0,33.230000000000004,33.660000000000004
don't,don't,33.66,33.879999999999995,VBP,21styear,don't,don't,0,33.66,33.879999999999995
match,match,33.88,34.220000000000006,NN,21styear,match,match,0,33.88,34.220000000000006
and,and,34.219999,34.269999,CC,21styear,and,and,0,34.219999,34.269999
the,the,34.309999000000005,34.409999000000006,DT,21styear,the,the,0,34.309999000000005,34.409999000000006
cups,cups,34.41,34.76,NNS,21styear,cup,cups,0,34.41,34.76
are,are,34.760000000000005,34.82000000000001,VBP,21styear,are,are,0,34.760000000000005,34.82000000000001
too,too,34.82,35.03,RB,21styear,too,too,0,34.82,35.03
big,big,35.029999000000004,35.279999000000004,JJ,21styear,big,big,0,35.029999000000004,35.279999000000004
to,to,35.289999,35.419999000000004,TO,21styear,to,to,0,35.289999,35.419999000000004
serve,serve,35.42,35.74,VB,21styear,serve,serve,0,35.42,35.74
wine,wine,35.75,36.28,NN,21styear,wine,wine,0,35.75,36.28
You,you,36.74,36.88,PRP,21styear,you,you,0,36.74,36.88
didn't,didn't,36.88,37.09,VBP,21styear,didn't,didn't,0,36.88,37.09
get,get,37.09,37.3,VB,21styear,get,get,0,37.09,37.3
half,half,37.31,37.53,PDT,21styear,half,half,0,37.31,37.53
the,the,37.53,37.63,DT,21styear,the,the,0,37.53,37.63
things,things,37.63,37.92,NNS,21styear,thing,things,0,37.63,37.92
on,on,37.92,38.03,IN,21styear,on,on,0,37.92,38.03
my,my,38.03,38.19,PRP$,21styear,my,my,0,38.03,38.19
list,list,38.19,38.55,NN,21styear,list,list,0,38.19,38.55
she,she,38.56,38.77,PRP,21styear,she,she,0,38.56,38.77
hisses,hisses,38.77,39.11000000000001,VBZ,21styear,hiss,hisses,0,38.77,39.11000000000001
at,at,39.11,39.23,IN,21styear,at,at,0,39.11,39.23
Gary,gary,39.23,39.61,NN,21styear,gary,gary,0,39.23,39.61
as,as,39.61,39.74,IN,21styear,a,as,0,39.61,39.74
he,he,39.74,39.82,PRP,21styear,he,he,0,39.74,39.82
passes,passes,39.82,40.55,VBZ,21styear,pass,passes,0,39.82,40.55
He,he,40.84,40.96,PRP,21styear,he,he,0,40.84,40.96
shrugs,<unk>,41.68,41.69,VBZ,21styear,shrug,shrugs,0,41.68,41.69
No,no,41.99,42.18,DT,21styear,no,no,0,41.99,42.18
one,one,42.18,42.38,NN,21styear,one,one,0,42.18,42.38
seems,seems,42.38,42.690000000000005,VBZ,21styear,seems,seems,0,42.38,42.690000000000005
to,to,42.69,42.83,TO,21styear,to,to,0,42.69,42.83
mind,mind,42.83,43.17,VB,21styear,mind,mind,0,42.83,43.17
but,but,43.17,43.33,CC,21styear,but,but,0,43.17,43.33
her,her,43.33,43.77,PRP$,21styear,her,her,0,43.33,43.77
Did,did,44.2,44.400000000000006,VBD,21styear,did,did,0,44.2,44.400000000000006
you,you,44.4,44.47,PRP,21styear,you,you,0,44.4,44.47
have,have,44.47,44.66,VBP,21styear,have,have,0,44.47,44.66
to,to,44.66,44.75,TO,21styear,to,to,0,44.66,44.75
buy,buy,44.75,45.0,VB,21styear,buy,buy,0,44.75,45.0
a,a,45.0,45.07,DT,21styear,a,a,0,45.0,45.07
four,four,45.07,45.29,CD,21styear,four,four,0,45.07,45.29
hundred,hundred,45.29,45.54,VBD,21styear,hundred,hundred,0,45.29,45.54
dollar,dollar,45.54,45.84,NN,21styear,dollar,dollar,0,45.54,45.84
bottle,bottle,45.84,46.14,NN,21styear,bottle,bottle,0,45.84,46.14
of,of,46.139999,46.199999000000005,IN,21styear,of,of,0,46.139999,46.199999000000005
Scotch,scotch,46.21,46.99,NN,21styear,scotch,scotch,0,46.21,46.99
Gary,gary,47.17,47.58,NN,21styear,gary,gary,0,47.17,47.58
waves,waves,47.58,47.91,VBZ,21styear,wave,waves,0,47.58,47.91
away,away,47.91,48.24,RB,21styear,away,away,0,47.91,48.24
her,her,48.24,48.39,PRP$,21styear,her,her,0,48.24,48.39
upset,upset,48.389999,48.999999,NN,21styear,upset,upset,0,48.389999,48.999999
He,he,49.24,49.41,PRP,21styear,he,he,0,49.24,49.41
seems,seems,49.41,49.77,VBZ,21styear,seems,seems,0,49.41,49.77
distracted,distracted,49.77,50.78,VBD,21styear,distracted,distracted,0,49.77,50.78
Guilty,guilty,50.929999,51.329999,JJ,21styear,guilty,guilty,0,50.929999,51.329999
of,of,51.33,51.46,IN,21styear,of,of,0,51.33,51.46
something,something,51.46,52.12,NN,21styear,something,something,0,51.46,52.12
She,she,52.41,52.58,PRP,21styear,she,she,0,52.41,52.58
can,can,52.58,52.72,MD,21styear,can,can,0,52.58,52.72
tell,tell,52.719999,52.969999,VB,21styear,tell,tell,0,52.719999,52.969999
by,by,52.969999,53.099999,IN,21styear,by,by,0,52.969999,53.099999
the,the,53.1,53.22,DT,21styear,the,the,0,53.1,53.22
way,way,53.219999,53.439999,NN,21styear,way,way,0,53.219999,53.439999
he,he,53.440001,53.56000099999999,PRP,21styear,he,he,0,53.440001,53.56000099999999
avoids,avoids,53.559999000000005,53.999999,VBZ,21styear,avoids,avoids,0,53.559999000000005,53.999999
her,her,54.0,54.44,PRP$,21styear,her,her,0,54.0,54.44
Clara,clara,54.86,55.28,NN,21styear,clara,clara,0,54.86,55.28
looks,looks,55.28,55.51,VBZ,21styear,look,looks,0,55.28,55.51
at,at,55.51,55.61,IN,21styear,at,at,0,55.51,55.61
her,her,55.61,55.74,PRP$,21styear,her,her,0,55.61,55.74
face,face,55.74,56.2,NN,21styear,face,face,0,55.74,56.2
in,in,56.21,56.31,IN,21styear,in,in,0,56.21,56.31
the,the,56.31,56.400000000000006,DT,21styear,the,the,0,56.31,56.400000000000006
hallway,hallway,56.4,56.82,NN,21styear,hallway,hallway,0,56.4,56.82
mirror,mirror,56.82,57.36,NN,21styear,mirror,mirror,0,56.82,57.36
She's,she's,57.46,57.71,NN,21styear,she's,she's,0,57.46,57.71
thirty,thirty,57.71,58.0,NN,21styear,thirty,thirty,0,57.71,58.0
three,three,58.0,58.22,CD,21styear,three,three,0,58.0,58.22
years,years,58.22,58.45,NNS,21styear,year,years,0,58.22,58.45
old,old,58.45,58.99,JJ,21styear,old,old,0,58.45,58.99
She's,she's,59.06,59.28,JJ,21styear,she's,she's,0,59.06,59.28
slowly,slowly,59.28,59.7,RB,21styear,slowly,slowly,0,59.28,59.7
getting,getting,59.7,60.02,VBG,21styear,getting,getting,0,59.7,60.02
white,white,60.02,60.27,JJ,21styear,white,white,0,60.02,60.27
hairs,hairs,60.27,60.74999999999999,NNS,21styear,hair,hairs,0,60.27,60.74999999999999
in,in,60.75,60.87,IN,21styear,in,in,0,60.75,60.87
her,her,60.87,61.04,PRP$,21styear,her,her,0,60.87,61.04
eyebrows,eyebrows,61.04,61.95,NNS,21styear,eyebrow,eyebrows,0,61.04,61.95
She,she,62.22,62.44,PRP,21styear,she,she,0,62.22,62.44
feels,feels,62.44,62.98,VBZ,21styear,feel,feels,0,62.44,62.98
completely,completely,63.0,63.78,RB,21styear,completely,completely,0,63.0,63.78
alone,alone,63.8,64.49,JJ,21styear,alone,alone,0,63.8,64.49
Grad,grad,65.03,65.33,NN,21styear,grad,grad,0,65.03,65.33
students,students,65.33,65.72,NNS,21styear,student,students,0,65.33,65.72
fill,fill,65.719999,65.909999,VBP,21styear,fill,fill,0,65.719999,65.909999
the,the,65.91,66.00999999999999,DT,21styear,the,the,0,65.91,66.00999999999999
low,low,66.009999,66.22999899999999,JJ,21styear,low,low,0,66.009999,66.22999899999999
ceiling,ceiling,66.23,66.64,NN,21styear,ceiling,ceiling,0,66.23,66.64
space,space,66.639999,67.199999,NN,21styear,space,space,0,66.639999,67.199999
chewing,chewing,67.2,67.62,VBG,21styear,chewing,chewing,0,67.2,67.62
big,big,67.63,67.86999999999999,JJ,21styear,big,big,0,67.63,67.86999999999999
words,words,67.88,68.3,NNS,21styear,word,words,0,67.88,68.3
and,and,68.299999,68.479999,CC,21styear,and,and,0,68.299999,68.479999
gesticulating,<unk>,68.66,69.28,VBG,21styear,gesticulating,gesticulating,0,68.66,69.28
emphatically,emphatically,69.28,70.18,RB,21styear,emphatically,emphatically,0,69.28,70.18
Gary's,<unk>,70.69999899999999,70.789999,JJ,21styear,gary's,gary's,0,70.69999899999999,70.789999
face,face,70.799999,71.239999,NN,21styear,face,face,0,70.799999,71.239999
looks,looks,71.24,71.44999999999999,VBZ,21styear,look,looks,0,71.24,71.44999999999999
up,up,71.44999899999999,71.57999899999999,RP,21styear,up,up,0,71.44999899999999,71.57999899999999
from,from,71.58,71.72,IN,21styear,from,from,0,71.58,71.72
the,the,71.719999,71.819999,DT,21styear,the,the,0,71.719999,71.819999
photo,photo,71.82,72.19999999999999,NN,21styear,photo,photo,0,71.82,72.19999999999999
his,his,72.19999899999999,72.41999899999999,PRP$,21styear,his,his,0,72.19999899999999,72.41999899999999
parents,parents,72.42,72.81,NNS,21styear,parent,parents,0,72.42,72.81
have,have,72.81,72.96000000000001,VBP,21styear,have,have,0,72.81,72.96000000000001
framed,framed,72.96,73.36999999999999,VBN,21styear,framed,framed,0,72.96,73.36999999999999
in,in,73.37,73.49000000000001,IN,21styear,in,in,0,73.37,73.49000000000001
expensive,expensive,73.49,74.17999999999999,JJ,21styear,expensive,expensive,0,73.49,74.17999999999999
mahogany,mahogany,74.19,75.0,NN,21styear,mahogany,mahogany,0,74.19,75.0
Elated,elated,75.21,75.97,VBD,21styear,elated,elated,0,75.21,75.97
graduating,graduating,75.98,76.77000000000001,VBG,21styear,graduating,graduating,0,75.98,76.77000000000001
cap,cap,76.78,77.06,NN,21styear,cap,cap,0,76.78,77.06
and,and,77.06,77.19,CC,21styear,and,and,0,77.06,77.19
gown,gown,77.19,77.47,NN,21styear,gown,gown,0,77.19,77.47
and,and,77.47,77.61,CC,21styear,and,and,0,77.47,77.61
all,all,77.61,78.01,DT,21styear,all,all,0,77.61,78.01
Toasts,toasts,78.18,78.66000000000001,NNS,21styear,toast,toasts,0,78.18,78.66000000000001
and,and,78.66,78.82,CC,21styear,and,and,0,78.66,78.82
more,more,78.82,79.08999999999999,JJR,21styear,more,more,0,78.82,79.08999999999999
toasts,toasts,79.09,79.82000000000001,NNS,21styear,toast,toasts,0,79.09,79.82000000000001
To,to,80.03,80.18,TO,21styear,to,to,0,80.03,80.18
our,our,80.179999,80.289999,PRP$,21styear,our,our,0,80.179999,80.289999
Doctor,doctor,80.28999999999999,80.67999999999999,NN,21styear,doctor,doctor,0,80.28999999999999,80.67999999999999
of,of,80.679999,80.789999,IN,21styear,of,of,0,80.679999,80.789999
Philosophy,philosophy,80.78999999999999,81.60999999999999,NN,21styear,philosophy,philosophy,0,80.78999999999999,81.60999999999999
Amazing,amazing,81.639999,82.129999,VBG,21styear,amazing,amazing,0,81.639999,82.129999
Art,art,82.13,82.35,NN,21styear,art,art,0,82.13,82.35
Prodigy,<unk>,82.36,82.96,NN,21styear,prodigy,prodigy,0,82.36,82.96
To,to,83.05,83.2,TO,21styear,to,to,0,83.05,83.2
Gary,gary,83.2,83.56,VB,21styear,gary,gary,0,83.2,83.56
Loisin,<unk>,83.68,84.49000000000001,NN,21styear,loisin,loisin,0,83.68,84.49000000000001
Clara's,<unk>,85.71000000000001,85.85000000000001,NN,21styear,clara's,clara's,0,85.71000000000001,85.85000000000001
carefully,carefully,85.849999,86.249999,RB,21styear,carefully,carefully,0,85.849999,86.249999
picked,picked,86.25,86.62,VBD,21styear,picked,picked,0,86.25,86.62
Happy,happy,86.63,87.03999999999999,JJ,21styear,happy,happy,0,86.63,87.03999999999999
Graduation,graduation,87.03999999999999,87.83999999999999,NN,21styear,graduation,graduation,0,87.03999999999999,87.83999999999999
paper,paper,87.849999,88.179999,NN,21styear,paper,paper,0,87.849999,88.179999
banners,banners,88.18,88.81,NNS,21styear,banner,banners,0,88.18,88.81
hang,hang,89.059999,89.359999,VBD,21styear,hang,hang,0,89.059999,89.359999
too,too,89.369999,89.54999900000001,RB,21styear,too,too,0,89.369999,89.54999900000001
low,low,89.549999,89.819999,JJ,21styear,low,low,0,89.549999,89.819999
from,from,89.82,90.00999999999999,IN,21styear,from,from,0,89.82,90.00999999999999
the,the,90.01,90.16,DT,21styear,the,the,0,90.01,90.16
adobe,adobe,90.16,90.63,NN,21styear,adobe,adobe,0,90.16,90.63
doors,doors,90.63,91.26,NNS,21styear,door,doors,0,90.63,91.26
People,people,91.57,91.9,NNS,21styear,people,people,0,91.57,91.9
have,have,91.9,92.12,VBP,21styear,have,have,0,91.9,92.12
to,to,92.12,92.24,TO,21styear,to,to,0,92.12,92.24
duck,duck,92.25,92.63,VB,21styear,duck,duck,0,92.25,92.63
when,when,92.64,92.82,WRB,21styear,when,when,0,92.64,92.82
they,they,92.82,92.93,PRP,21styear,they,they,0,92.82,92.93
go,go,92.93,93.1,VBP,21styear,go,go,0,92.93,93.1
in,in,93.1,93.19,IN,21styear,in,in,0,93.1,93.19
the,the,93.19,93.29,DT,21styear,the,the,0,93.19,93.29
kitchen,kitchen,93.29,93.86,NN,21styear,kitchen,kitchen,0,93.29,93.86
At,at,93.87,93.89,IN,21styear,at,at,0,93.87,93.89
Seventy,seventy,100.8,101.26,JJ,21styear,seventy,seventy,0,100.8,101.26
fourth,fourth,101.259999,101.629999,JJ,21styear,fourth,fourth,0,101.259999,101.629999
and,and,101.63,101.75,CC,21styear,and,and,0,101.63,101.75
Columbus,columbus,101.75,102.47,JJ,21styear,columbus,columbus,0,101.75,102.47
Apartment,apartment,102.48,103.03,NN,21styear,apartment,apartment,0,102.48,103.03
nine,nine,103.04,103.43,CD,21styear,nine,nine,0,103.04,103.43
D,d,103.429999,103.959999,NN,21styear,d,d,0,103.429999,103.959999
Steven,steven,104.41,104.86,VBN,21styear,steven,steven,0,104.41,104.86
Perdue,perdue,104.86,105.27,JJ,21styear,perdue,perdue,0,104.86,105.27
watches,watches,105.28,105.72,NNS,21styear,watch,watches,0,105.28,105.72
his,his,105.719999,105.909999,PRP$,21styear,his,his,0,105.719999,105.909999
wife,wife,105.91,106.23,NN,21styear,wife,wife,0,105.91,106.23
get,get,106.26,106.44,VBP,21styear,get,get,0,106.26,106.44
ready,ready,106.440001,106.690001,JJ,21styear,ready,ready,0,106.440001,106.690001
for,for,106.690001,106.830001,IN,21styear,for,for,0,106.690001,106.830001
her,her,106.83,106.94,PRP$,21styear,her,her,0,106.83,106.94
violin,violin,106.940001,107.480001,NN,21styear,violin,violin,0,106.940001,107.480001
lesson,lesson,107.48,108.03,NN,21styear,lesson,lesson,0,107.48,108.03
black,black,108.209999,108.569999,JJ,21styear,black,black,0,108.209999,108.569999
clothes,clothes,108.58,109.33,NNS,21styear,clothes,clothes,0,108.58,109.33
pearl,pearl,109.35,109.68,JJ,21styear,pearl,pearl,0,109.35,109.68
necklace,necklace,109.68,110.46,IN,21styear,necklace,necklace,0,109.68,110.46
her,her,110.56,110.71,PRP$,21styear,her,her,0,110.56,110.71
controlled,controlled,110.71,111.37,JJ,21styear,controlled,controlled,0,110.71,111.37
quiet,quiet,111.37,111.88,JJ,21styear,quiet,quiet,0,111.37,111.88
elegance,elegance,111.9,112.77,NN,21styear,elegance,elegance,0,111.9,112.77
We,we,113.32,113.5,PRP,21styear,we,we,0,113.32,113.5
cannot,cannot,113.5,113.98,VBP,21styear,cannot,cannot,0,113.5,113.98
ignore,ignore,113.98,114.4,RB,21styear,ignore,ignore,0,113.98,114.4
this,this,114.4,114.83,DT,21styear,this,this,0,114.4,114.83
We,we,114.92,115.05,PRP,21styear,we,we,0,114.92,115.05
should,should,115.05,115.25,MD,21styear,should,should,0,115.05,115.25
be,be,115.25,115.38,VB,21styear,be,be,0,115.25,115.38
vigilant,vigilant,115.39,115.94,JJ,21styear,vigilant,vigilant,0,115.39,115.94
Steven,steven,115.94,116.61,VBN,21styear,steven,steven,0,115.94,116.61
Married,married,117.01,117.43,JJ,21styear,married,married,0,117.01,117.43
eight,eight,117.429999,117.609999,CD,21styear,eight,eight,0,117.429999,117.609999
years,years,117.61,118.07,NNS,21styear,year,years,0,117.61,118.07
he,he,118.09,118.22,PRP,21styear,he,he,0,118.09,118.22
still,still,118.219999,118.459999,RB,21styear,still,still,0,118.219999,118.459999
can't,can't,118.46,118.72,VB,21styear,can't,can't,0,118.46,118.72
believe,believe,118.719999,119.189999,VB,21styear,believe,believe,0,118.719999,119.189999
his,his,119.19,119.38,PRP$,21styear,his,his,0,119.19,119.38
good,good,119.38,119.58,JJ,21styear,good,good,0,119.38,119.58
luck,luck,119.58,119.9,NN,21styear,luck,luck,0,119.58,119.9
Steven,steven,120.32,121.07,VBN,21styear,steven,steven,0,120.32,121.07
are,are,121.11,121.3,VBP,21styear,are,are,0,121.11,121.3
you,you,121.299999,121.439999,PRP,21styear,you,you,0,121.299999,121.439999
listening,listening,121.44,122.14,VBG,21styear,listening,listening,0,121.44,122.14
Yes,yes,122.46,122.94,RB,21styear,yes,yes,0,122.46,122.94
yes,yes,122.94,123.38,RB,21styear,yes,yes,0,122.94,123.38
He,he,123.389999,123.529999,PRP,21styear,he,he,0,123.389999,123.529999
is,is,123.53,123.7,VBZ,21styear,is,is,0,123.53,123.7
listening,listening,123.7,124.38,VBG,21styear,listening,listening,0,123.7,124.38
Sasha,sasha,124.629999,124.989999,NNS,21styear,sasha,sasha,0,124.629999,124.989999
broke,broke,124.99,125.32,VBD,21styear,broke,broke,0,124.99,125.32
up,up,125.32,125.49,RP,21styear,up,up,0,125.32,125.49
with,with,125.49,125.66,IN,21styear,with,with,0,125.49,125.66
this,this,125.66,125.85,DT,21styear,this,this,0,125.66,125.85
guy,guy,125.85,126.17,NN,21styear,guy,guy,0,125.85,126.17
and,and,126.199999,126.40999899999998,CC,21styear,and,and,0,126.199999,126.40999899999998
now,now,126.42,126.79,RB,21styear,now,now,0,126.42,126.79
I'm,i'm,126.82,126.92,VBP,21styear,i'm,i'm,0,126.82,126.92
missing,missing,126.96,127.53,VBG,21styear,missing,missing,0,126.96,127.53
ten,ten,127.53,127.8,NN,21styear,ten,ten,0,127.53,127.8
sleeping,sleeping,127.8,128.3,VBG,21styear,sleeping,sleeping,0,127.8,128.3
pills,pills,128.3,128.87,NNS,21styear,pill,pills,0,128.3,128.87
Oh,oh,129.1,129.38,RB,21styear,oh,oh,0,129.1,129.38
God,god,129.4,129.83,VBP,21styear,god,god,0,129.4,129.83
What,what,129.84,130.01,WP,21styear,what,what,0,129.84,130.01
is,is,130.01,130.12,VBZ,21styear,is,is,0,130.01,130.12
his,his,130.12,130.3,PRP$,21styear,his,his,0,130.12,130.3
daughter,daughter,130.3,130.65,NN,21styear,daughter,daughter,0,130.3,130.65
getting,getting,130.65,130.95000000000002,VBG,21styear,getting,getting,0,130.65,130.95000000000002
into,into,130.95,131.25,IN,21styear,into,into,0,130.95,131.25
again,again,131.25,131.79,RB,21styear,again,again,0,131.25,131.79
We,we,132.02,132.16,PRP,21styear,we,we,0,132.02,132.16
don't,don't,132.16,132.31,VBP,21styear,don't,don't,0,132.16,132.31
want,want,132.31,132.45,VB,21styear,want,want,0,132.31,132.45
a,a,132.45,132.53,DT,21styear,a,a,0,132.45,132.53
repeat,repeat,132.53,132.96,NN,21styear,repeat,repeat,0,132.53,132.96
of,of,132.96,133.11,IN,21styear,of,of,0,132.96,133.11
last,last,133.11,133.53,JJ,21styear,last,last,0,133.11,133.53
year,year,133.53,134.06,NN,21styear,year,year,0,133.53,134.06
There,there,134.5,134.66,EX,21styear,there,there,0,134.5,134.66
is,is,134.66,134.76,VBZ,21styear,is,is,0,134.66,134.76
an,an,134.76,134.89999999999998,DT,21styear,an,an,0,134.76,134.89999999999998
edge,edge,134.91,135.26,NN,21styear,edge,edge,0,134.91,135.26
in,in,135.27,135.39,IN,21styear,in,in,0,135.27,135.39
Margaret's,margaret's,135.389999,135.849999,JJ,21styear,margaret's,margaret's,0,135.389999,135.849999
voice,voice,135.86,136.37,NN,21styear,voice,voice,0,135.86,136.37
This,this,136.469999,136.809999,DT,21styear,this,this,0,136.469999,136.809999
girl,girl,136.809999,137.299999,NN,21styear,girl,girl,0,136.809999,137.299999
better,better,137.309999,137.57999900000002,RBR,21styear,better,better,0,137.309999,137.57999900000002
grow,grow,137.58,138.01000000000002,VB,21styear,grow,grow,0,137.58,138.01000000000002
up,up,138.009999,138.419999,RP,21styear,up,up,0,138.009999,138.419999
She,she,138.91,139.09,PRP,21styear,she,she,0,138.91,139.09
sounds,sounds,139.09,139.41,VBZ,21styear,sound,sounds,0,139.09,139.41
cold,cold,139.41,139.95,JJ,21styear,cold,cold,0,139.41,139.95
and,and,139.969999,140.119999,CC,21styear,and,and,0,139.969999,140.119999
he,he,140.12,140.22,PRP,21styear,he,he,0,140.12,140.22
notices,notices,140.219999,141.019999,VBZ,21styear,notice,notices,0,140.219999,141.019999
Margaret,margaret,141.389999,141.789999,JJ,21styear,margaret,margaret,0,141.389999,141.789999
pauses,pauses,141.79,142.22,NNS,21styear,pause,pauses,0,141.79,142.22
by,by,142.219999,142.369999,IN,21styear,by,by,0,142.219999,142.369999
the,the,142.369999,142.489999,DT,21styear,the,the,0,142.369999,142.489999
mirror,mirror,142.49,143.08,NN,21styear,mirror,mirror,0,142.49,143.08
then,then,143.15,143.32,RB,21styear,then,then,0,143.15,143.32
touches,touches,143.32,143.66,VBZ,21styear,touch,touches,0,143.32,143.66
her,her,143.66,143.79999999999998,PRP,21styear,her,her,0,143.66,143.79999999999998
neck,neck,143.799999,144.269999,NN,21styear,neck,neck,0,143.799999,144.269999
She,she,144.61,144.85000000000002,PRP,21styear,she,she,0,144.61,144.85000000000002
hates,hates,144.85,145.32999999999998,VBZ,21styear,hate,hates,0,144.85,145.32999999999998
her,her,145.33,145.55,PRP,21styear,her,her,0,145.33,145.55
age,age,145.55,146.04000000000002,NN,21styear,age,age,0,145.55,146.04000000000002
She,she,146.27,146.48000000000002,PRP,21styear,she,she,0,146.27,146.48000000000002
hates,hates,146.48,146.88,VBZ,21styear,hate,hates,0,146.48,146.88
being,being,146.88,147.13,VBG,21styear,being,being,0,146.88,147.13
Sasha's,<unk>,147.14,147.14999999999998,VB,21styear,sasha's,sasha's,0,147.14,147.14999999999998
stepmother,stepmother,147.56,148.44,NN,21styear,stepmother,stepmother,0,147.56,148.44
You,you,148.77,148.92000000000002,PRP,21styear,you,you,0,148.77,148.92000000000002
think,think,148.92,149.11999999999998,VBP,21styear,think,think,0,148.92,149.11999999999998
I,i,149.12,149.18,NNS,21styear,i,i,0,149.12,149.18
should,should,149.18,149.38,MD,21styear,should,should,0,149.18,149.38
talk,talk,149.38,149.69,VB,21styear,talk,talk,0,149.38,149.69
to,to,149.69,149.81,TO,21styear,to,to,0,149.69,149.81
her,her,149.81,149.95,PRP$,21styear,her,her,0,149.81,149.95
Maggie,maggie,149.95,150.57999999999998,NN,21styear,maggie,maggie,0,149.95,150.57999999999998
Margaret,margaret,151.02,151.43,NN,21styear,margaret,margaret,0,151.02,151.43
turns,turns,151.43,151.77,VBZ,21styear,turn,turns,0,151.43,151.77
and,and,151.77,151.93,CC,21styear,and,and,0,151.77,151.93
wraps,wraps,151.93,152.24,VBZ,21styear,wrap,wraps,0,151.93,152.24
her,her,152.24,152.45000000000002,PRP$,21styear,her,her,0,152.24,152.45000000000002
arms,arms,152.5,152.87,NNS,21styear,arm,arms,0,152.5,152.87
around,around,152.87,153.11,IN,21styear,around,around,0,152.87,153.11
Steven's,steven's,153.11,153.55,NN,21styear,steven's,steven's,0,153.11,153.55
stooped,stooped,153.559999,153.909999,VBD,21styear,stooped,stooped,0,153.559999,153.909999
frame,frame,153.91,154.47,NN,21styear,frame,frame,0,153.91,154.47
He,he,154.76,154.89999999999998,PRP,21styear,he,he,0,154.76,154.89999999999998
looks,looks,154.9,155.13,VBZ,21styear,look,looks,0,154.9,155.13
